Common Name,Scientific Name
Andean Tinamou,Nothoprocta pentlandii
Chilean Tinamou,Nothoprocta perdicaria
White-bellied Nothura,Nothura boraquira
Darwin's Nothura,Nothura darwinii
Spotted Nothura,Nothura maculosa
Stitchbird,Notiomystis cincta
Black-bellied Starling,Notopholia corusca
Eurasian Nutcracker,Nucifraga caryocatactes
Clark's Nutcracker,Nucifraga columbiana
Long-billed Curlew,Numenius americanus
Eurasian Curlew,Numenius arquata
Far Eastern Curlew,Numenius madagascariensis
Little Curlew,Numenius minutus
Whimbrel,Numenius phaeopus
Bristle-thighed Curlew,Numenius tahitiensis
Helmeted Guineafowl,Numida meleagris
Yellow-crowned Night-Heron,Nyctanassa violacea
Long-tailed Potoo,Nyctibius aethereus
Rufous Potoo,Nyctibius bracteatus
Great Potoo,Nyctibius grandis
Common Potoo,Nyctibius griseus
Northern Potoo,Nyctibius jamaicensis
White-winged Potoo,Nyctibius leucopterus
Black-crowned Night-Heron,Nycticorax nycticorax
Common Pauraque,Nyctidromus albicollis
Scrub Nightjar,Nyctidromus anthonyi
Eared Poorwill,Nyctiphrynus mcleodii
Ocellated Poorwill,Nyctiphrynus ocellatus
Choco Poorwill,Nyctiphrynus rosenbergi
Yucatan Poorwill,Nyctiphrynus yucatanicus
Blackish Nightjar,Nyctipolus nigrescens
Band-tailed Nighthawk,Nyctiprogne leucopyga
Red-bearded Bee-eater,Nyctyornis amictus
Blue-bearded Bee-eater,Nyctyornis athertoni
Cockatiel,Nymphicus hollandicus
White-eared Puffbird,Nystalus chacuru
Spot-backed Puffbird,Nystalus maculatus
Western Striolated-Puffbird,Nystalus obamai
Barred Puffbird,Nystalus radiatus
Eastern Striolated-Puffbird,Nystalus striolatus
Rock Earthcreeper,Ochetorhynchus andaecola
Crag Chilia,Ochetorhynchus melanurus
Band-tailed Earthcreeper,Ochetorhynchus phoenicurus
Straight-billed Earthcreeper,Ochetorhynchus ruficaudus
Slaty-backed Chat-Tyrant,Ochthoeca cinnamomeiventris
Yellow-bellied Chat-Tyrant,Ochthoeca diadema
Crowned Chat-Tyrant,Ochthoeca frontalis
Brown-backed Chat-Tyrant,Ochthoeca fumicolor
Jelski's Chat-Tyrant,Ochthoeca jelskii
White-browed Chat-Tyrant,Ochthoeca leucophrys
d'Orbigny's Chat-Tyrant,Ochthoeca oenanthoides
Golden-browed Chat-Tyrant,Ochthoeca pulchella
Rufous-breasted Chat-Tyrant,Ochthoeca rufipectoralis
Drab Water Tyrant,Ochthornis littoralis
Booted Racket-tail,Ocreatus underwoodii
Indian Gray Hornbill,Ocyceros birostris
Sri Lanka Gray Hornbill,Ocyceros gingalensis
Malabar Gray Hornbill,Ocyceros griseus
Crested Pigeon,Ocyphaps lophotes
White-tailed Deer,Odocoileus virginianus
Black-fronted Wood-Quail,Odontophorus atrifrons
Stripe-faced Wood-Quail,Odontophorus balliviani
Spot-winged Wood-Quail,Odontophorus capueira
Venezuelan Wood-Quail,Odontophorus columbianus
Rufous-fronted Wood-Quail,Odontophorus erythrops
Marbled Wood-Quail,Odontophorus gujanensis
Spotted Wood-Quail,Odontophorus guttatus
Chestnut Wood-Quail,Odontophorus hyperythrus
Black-breasted Wood-Quail,Odontophorus leucolaemus
Dark-backed Wood-Quail,Odontophorus melanonotus
Black-eared Wood-Quail,Odontophorus melanotis
Rufous-breasted Wood-Quail,Odontophorus speciosus
Starred Wood-Quail,Odontophorus stellatus
Gorgeted Wood-Quail,Odontophorus strophium
Gray-mantled Wren,Odontorchilus branickii
Tooth-billed Wren,Odontorchilus cinereus
Fast-calling Tree Cricket,Oecanthus celerinictus
Davis's Tree Cricket,Oecanthus exclamationis
Snowy Tree Cricket,Oecanthus fultoni
Blackhorned Tree Cricket,Oecanthus nigricornis
Narrow-winged Tree Cricket,Oecanthus niveus
Pine Tree Cricket,Oecanthus pini
Four-spotted Tree Cricket,Oecanthus quadripunctatus
Namaqua Dove,Oena capensis
Desert Wheatear,Oenanthe deserti
Familiar Chat,Oenanthe familiaris
Brown Rock Chat,Oenanthe fusca
Western Black-eared Wheatear,Oenanthe hispanica
Isabelline Wheatear,Oenanthe isabellina
White-crowned Wheatear,Oenanthe leucopyga
Black Wheatear,Oenanthe leucura
Eastern Black-eared Wheatear,Oenanthe melanoleuca
Blackstart,Oenanthe melanura
Northern Wheatear,Oenanthe oenanthe
Capped Wheatear,Oenanthe pileata
Pied Wheatear,Oenanthe pleschanka
Brown-tailed Chat,Oenanthe scotocerca
Yellow-eared Parrot,Ognorhynchus icterotis
Northern Bentbill,Oncostoma cinereigulare
Southern Bentbill,Oncostoma olivaceum
Lunulated Antbird,Oneillornis lunulatus
White-throated Antbird,Oneillornis salvini
Red-winged Starling,Onychognathus morio
Pale-winged Starling,Onychognathus nabouroup
Slender-billed Starling,Onychognathus tenuirostris
Tristram's Starling,Onychognathus tristramii
Waller's Starling,Onychognathus walleri
Aleutian Tern,Onychoprion aleuticus
Bridled Tern,Onychoprion anaethetus
Sooty Tern,Onychoprion fuscatus
Gray-backed Tern,Onychoprion lunatus
Royal Flycatcher,Onychorhynchus coronatus
Hoatzin,Opisthocomus hoazin
Connecticut Warbler,Oporornis agilis
Agile Meadow Katydid,Orchelimum agile
Stripe-faced Meadow Katydid,Orchelimum concinnum
Handsome Meadow Katydid,Orchelimum pulchellum
Brown Tanager,Orchesticus abeillei
Tit Berrypecker,Oreocharis arfaki
Crested Bellbird,Oreoica gutturalis
Black-collared Apalis,Oreolais pulcher
Rwenzori Apalis,Oreolais ruwenzorii
Akikiki,Oreomystis bairdi
Horned Guan,Oreophasis derbianus
Tawny-throated Dotterel,Oreopholus ruficollis
Bolivian Blackbird,Oreopsar bolivianus
Mountain Quail,Oreortyx pictus
Sage Thrasher,Oreoscoptes montanus
Fernwren,Oreoscopus gutturalis
Flame-throated Warbler,Oreothlypis gutturalis
Crescent-chested Warbler,Oreothlypis superciliosa
Tanager Finch,Oreothraupis arremonops
Andean Hillstar,Oreotrochilus estella
Orinoco Goose,Oressochen jubatus
Andean Goose,Oressochen melanopterus
African Golden Oriole,Oriolus auratus
Western Black-headed Oriole,Oriolus brachyrynchus
Black-naped Oriole,Oriolus chinensis
Green-headed Oriole,Oriolus chlorocephalus
Black-and-crimson Oriole,Oriolus cruentus
Green Oriole,Oriolus flavocinctus
Indian Golden Oriole,Oriolus kundoo
African Black-headed Oriole,Oriolus larvatus
Ethiopian Black-headed Oriole,Oriolus monacha
Black-winged Oriole,Oriolus nigripennis
Eurasian Golden Oriole,Oriolus oriolus
Black-tailed Oriole,Oriolus percivali
Halmahera Oriole,Oriolus phaeochromus
Olive-backed Oriole,Oriolus sagittatus
Philippine Oriole,Oriolus steerii
Brown Oriole,Oriolus szalayi
Slender-billed Oriole,Oriolus tenuirostris
Maroon Oriole,Oriolus traillii
Dark-throated Oriole,Oriolus xanthonotus
Black-hooded Oriole,Oriolus xanthornus
Striped Sparrow,Oriturus superciliosus
Brown-capped Tyrannulet,Ornithion brunneicapillus
White-lored Tyrannulet,Ornithion inerme
Yellow-bellied Tyrannulet,Ornithion semiflavum
Jumping Bush Cricket,Orocharis saltator
Pale-footed Swallow,Orochelidon flavipes
Brown-bellied Swallow,Orochelidon murina
East Brazilian Chachalaca,Ortalis araucuan
Chaco Chachalaca,Ortalis canicollis
Gray-headed Chachalaca,Ortalis cinereiceps
Colombian Chachalaca,Ortalis columbiana
Rufous-headed Chachalaca,Ortalis erythroptera
Chestnut-winged Chachalaca,Ortalis garrula
Speckled Chachalaca,Ortalis guttata
White-bellied Chachalaca,Ortalis leucogastra
Variable Chachalaca,Ortalis motmot
West Mexican Chachalaca,Ortalis poliocephala
Rufous-vented Chachalaca,Ortalis ruficauda
Scaled Chachalaca,Ortalis squamata
Plain Chachalaca,Ortalis vetula
Rufous-bellied Chachalaca,Ortalis wagleri
Olive-green Tanager,Orthogonys chloricterus
Papuan Logrunner,Orthonyx novaeguineae
Chowchilla,Orthonyx spaldingii
Australian Logrunner,Orthonyx temminckii
Red-bellied Macaw,Orthopsittaca manilatus
Dark-necked Tailorbird,Orthotomus atrogularis
Cambodian Tailorbird,Orthotomus chaktomuk
Green-backed Tailorbird,Orthotomus chloronotus
Gray-backed Tailorbird,Orthotomus derbianus
Rufous-fronted Tailorbird,Orthotomus frontalis
White-browed Tailorbird,Orthotomus nigriceps
Ashy Tailorbird,Orthotomus ruficeps
Olive-backed Tailorbird,Orthotomus sepium
Rufous-tailed Tailorbird,Orthotomus sericeus
Common Tailorbird,Orthotomus sutorius
Gray Francolin,Ortygornis pondicerianus
Crested Francolin,Ortygornis sephaena
Quailfinch,Ortygospiza atricollis
Pheasant Pigeon,Otidiphaps nobilis
Chinese Thrush,Otocichla mupinensis
Indian Scops-Owl,Otus bakkamoena
Cyprus Scops-Owl,Otus cyprius
Ryukyu Scops-Owl,Otus elegans
Sunda Scops-Owl,Otus lempiji
Collared Scops-Owl,Otus lettia
Torotoroka Scops-Owl,Otus madagascariensis
Moluccan Scops-Owl,Otus magicus
Sulawesi Scops-Owl,Otus manadensis
Mantanani Scops-Owl,Otus mantananensis
Arabian Scops-Owl,Otus pamelae
Reddish Scops-Owl,Otus rufescens
Madagascar Scops-Owl,Otus rutilus
White-fronted Scops-Owl,Otus sagittatus
Eurasian Scops-Owl,Otus scops
Japanese Scops-Owl,Otus semitorques
African Scops-Owl,Otus senegalensis
Mountain Scops-Owl,Otus spilocephalus
Oriental Scops-Owl,Otus sunia
White-throated Oxylabes,Oxylabes madagascariensis
Sharpbill,Oxyruncus cristatus
Andean Duck,Oxyura ferruginea
Ruddy Duck,Oxyura jamaicensis
Goldenface,Pachycare flavogriseum
Vanuatu Whistler,Pachycephala chlorura
Mangrove Whistler,Pachycephala cinerea
Samoan Whistler,Pachycephala flavifrons
Western Whistler,Pachycephala fuliginosa
Rusty-breasted Whistler,Pachycephala fulvotincta
Drab Whistler,Pachycephala griseonota
White-vented Whistler,Pachycephala homeyeri
Bornean Whistler,Pachycephala hypoxantha
Gilbert's Whistler,Pachycephala inornata
White-breasted Whistler,Pachycephala lanioides
Yellow-throated Whistler,Pachycephala macrorhyncha
Black-chinned Whistler,Pachycephala mentalis
Bare-throated Whistler,Pachycephala nudigula
Olive Whistler,Pachycephala olivacea
Oriole Whistler,Pachycephala orioloides
Golden Whistler,Pachycephala pectoralis
Yellow-bellied Whistler,Pachycephala philippinensis
Rufous Whistler,Pachycephala rufiventris
Regent Whistler,Pachycephala schlegelii
Gray Whistler,Pachycephala simplex
Sclater's Whistler,Pachycephala soror
Sulphur-bellied Whistler,Pachycephala sulfuriventer
Fiji Whistler,Pachycephala vitiensis
Compact Weaver,Pachyphantes superciliosus
Rose-throated Becard,Pachyramphus aglaiae
Black-and-white Becard,Pachyramphus albogriseus
Chestnut-crowned Becard,Pachyramphus castaneus
Cinnamon Becard,Pachyramphus cinnamomeus
One-colored Becard,Pachyramphus homochrous
Gray-collared Becard,Pachyramphus major
Black-capped Becard,Pachyramphus marginatus
Pink-throated Becard,Pachyramphus minor
Jamaican Becard,Pachyramphus niger
White-winged Becard,Pachyramphus polychopterus
Cinereous Becard,Pachyramphus rufus
Glossy-backed Becard,Pachyramphus surinamus
Crested Becard,Pachyramphus validus
Barred Becard,Pachyramphus versicolor
Green-backed Becard,Pachyramphus viridis
Golden-fronted Greenlet,Pachysylvia aurantiifrons
Lesser Greenlet,Pachysylvia decurtata
Dusky-capped Greenlet,Pachysylvia hypoxantha
Buff-cheeked Greenlet,Pachysylvia muscicapina
Rufous-naped Greenlet,Pachysylvia semibrunnea
Java Sparrow,Padda oryzivora
Akohekohe,Palmeria dolei
Wedge-tailed Sabrewing,Pampa curvipennis
Osprey,Pandion haliaetus
Fiery-throated Hummingbird,Panterpe insignis
Bearded Reedling,Panurus biarmicus
Great Swallow-tailed Swift,Panyptila sanctihieronymi
White-rumped Hawk,Parabuteo leucorrhous
Harris's Hawk,Parabuteo unicinctus
Maroon-chested Ground Dove,Paraclaravis mondetoura
Lesser Bird-of-Paradise,Paradisaea minor
Red Bird-of-Paradise,Paradisaea rubra
Black-breasted Parrotbill,Paradoxornis flavirostris
Spot-breasted Parrotbill,Paradoxornis guttaticollis
Spotted Pardalote,Pardalotus punctatus
Red-browed Pardalote,Pardalotus rubricatus
Striated Pardalote,Pardalotus striatus
Spotted Rail,Pardirallus maculatus
Blackish Rail,Pardirallus nigricans
Plumbeous Rail,Pardirallus sanguinolentus
Yellow-shouldered Grosbeak,Parkerthraustes humeralis
Louisiana Waterthrush,Parkesia motacilla
Northern Waterthrush,Parkesia noveboracensis
Yellow-billed Cardinal,Paroaria capitata
Red-crested Cardinal,Paroaria coronata
Red-cowled Cardinal,Paroaria dominicana
Red-capped Cardinal,Paroaria gularis
Maui Alauahio,Paroreomyza montana
Cinereous Tit,Parus cinereus
Great Tit,Parus major
Japanese Tit,Parus minor
Green-backed Tit,Parus monticolus
Purple-crowned Lorikeet,Parvipsitta porphyrocephala
Little Lorikeet,Parvipsitta pusilla
Saxaul Sparrow,Passer ammodendri
Russet Sparrow,Passer cinnamomeus
Southern Gray-headed Sparrow,Passer diffusus
House Sparrow,Passer domesticus
Plain-backed Sparrow,Passer flaveolus
Northern Gray-headed Sparrow,Passer griseus
Spanish Sparrow,Passer hispaniolensis
Italian Sparrow,Passer italiae
Cape Sparrow,Passer melanurus
Dead Sea Sparrow,Passer moabiticus
Eurasian Tree Sparrow,Passer montanus
Sind Sparrow,Passer pyrrhonotus
Kenya Rufous Sparrow,Passer rufocinctus
Desert Sparrow,Passer simplex
Swainson's Sparrow,Passer swainsonii
Savannah Sparrow,Passerculus sandwichensis
Fox Sparrow,Passerella iliaca
Lazuli Bunting,Passerina amoena
Blue Grosbeak,Passerina caerulea
Painted Bunting,Passerina ciris
Indigo Bunting,Passerina cyanea
Orange-breasted Bunting,Passerina leclancherii
Rose-bellied Bunting,Passerina rositae
Varied Bunting,Passerina versicolor
Rosy Starling,Pastor roseus
Chilean Pigeon,Patagioenas araucana
Pale-vented Pigeon,Patagioenas cayennensis
Bare-eyed Pigeon,Patagioenas corensis
Band-tailed Pigeon,Patagioenas fasciata
Red-billed Pigeon,Patagioenas flavirostris
Dusky Pigeon,Patagioenas goodsoni
White-crowned Pigeon,Patagioenas leucocephala
Spot-winged Pigeon,Patagioenas maculosa
Short-billed Pigeon,Patagioenas nigrirostris
Picazuro Pigeon,Patagioenas picazuro
Plumbeous Pigeon,Patagioenas plumbea
Scaled Pigeon,Patagioenas speciosa
Scaly-naped Pigeon,Patagioenas squamosa
Ruddy Pigeon,Patagioenas subvinacea
Giant Hummingbird,Patagona gigas
Helmeted Curassow,Pauxi pauxi
Indian Peafowl,Pavo cristatus
Brown-winged Kingfisher,Pelargopsis amauroptera
Stork-billed Kingfisher,Pelargopsis capensis
Australian Pelican,Pelecanus conspicillatus
American White Pelican,Pelecanus erythrorhynchos
Brown Pelican,Pelecanus occidentalis
Spot-throated Babbler,Pellorneum albiventre
Ferruginous Babbler,Pellorneum bicolor
Black-capped Babbler,Pellorneum capistratum
Sulawesi Babbler,Pellorneum celebense
Brown-capped Babbler,Pellorneum fuscocapillus
Short-tailed Babbler,Pellorneum malaccense
Marsh Babbler,Pellorneum palustre
Temminck's Babbler,Pellorneum pyrrogenys
White-chested Babbler,Pellorneum rostratum
Puff-throated Babbler,Pellorneum ruficeps
Buff-breasted Babbler,Pellorneum tickelli
Mountain Peltops,Peltops montanus
White-winged Guan,Penelope albipennis
Band-tailed Guan,Penelope argyrotis
Bearded Guan,Penelope barbata
Red-faced Guan,Penelope dabbenei
Spix's Guan,Penelope jacquacu
Marail Guan,Penelope marail
Andean Guan,Penelope montagnii
Dusky-legged Guan,Penelope obscura
Cauca Guan,Penelope perspicax
Crested Guan,Penelope purpurascens
Rusty-margined Guan,Penelope superciliaris
Mindanao Hornbill,Penelopides affinis
Highland Guan,Penelopina nigra
Blue-gray Robin,Peneothello cyanus
White-winged Robin,Peneothello sigillata
Allpahuayo Antbird,Percnostola arenarum
Black-headed Antbird,Percnostola rufifrons
Rock Bush-Quail,Perdicula argoondah
Jungle Bush-Quail,Perdicula asiatica
Painted Bush-Quail,Perdicula erythrorhyncha
Gray Partridge,Perdix perdix
Brown-rumped Minivet,Pericrocotus cantonensis
Small Minivet,Pericrocotus cinnamomeus
Ashy Minivet,Pericrocotus divaricatus
White-bellied Minivet,Pericrocotus erythropygius
Long-tailed Minivet,Pericrocotus ethologus
Orange Minivet,Pericrocotus flammeus
Gray-chinned Minivet,Pericrocotus solaris
Scarlet Minivet,Pericrocotus speciosus
Ryukyu Minivet,Pericrocotus tegimae
Coal Tit,Periparus ater
Elegant Tit,Periparus elegans
Rufous-vented Tit,Periparus rubidiventris
Rufous-naped Tit,Periparus rufonuchalis
Yellow-bellied Tit,Periparus venustulus
Red-and-black Grosbeak,Periporphyrus erythromelas
Canada Jay,Perisoreus canadensis
Siberian Jay,Perisoreus infaustus
Capuchinbird,Perissocephalus tricolor
European Honey-buzzard,Pernis apivorus
Oriental Honey-buzzard,Pernis ptilorhynchus
Fairy Martin,Petrochelidon ariel
Streak-throated Swallow,Petrochelidon fluvicola
Cave Swallow,Petrochelidon fulva
Tree Martin,Petrochelidon nigricans
Cliff Swallow,Petrochelidon pyrrhonota
South African Swallow,Petrochelidon spilodera
South Island Robin,Petroica australis
Scarlet Robin,Petroica boodang
Red-capped Robin,Petroica goodenovii
North Island Robin,Petroica longipes
Tomtit,Petroica macrocephala
Flame Robin,Petroica phoenicea
Pacific Robin,Petroica pusilla
Pink Robin,Petroica rodinogaster
Rose Robin,Petroica rosea
Rock Sparrow,Petronia petronia
Bachman's Sparrow,Peucaea aestivalis
Botteri's Sparrow,Peucaea botterii
Rufous-winged Sparrow,Peucaea carpalis
Cassin's Sparrow,Peucaea cassinii
Black-chested Sparrow,Peucaea humeralis
Bridled Sparrow,Peucaea mystacalis
Stripe-headed Sparrow,Peucaea ruficauda
Cinnamon-tailed Sparrow,Peucaea sumichrasti
Olive Warbler,Peucedramus taeniatus
Large-footed Finch,Pezopetes capitalis
Ground Parrot,Pezoporus wallicus
Chestnut-backed Thornbird,Phacellodomus dorsalis
Orange-eyed Thornbird,Phacellodomus erythrophthalmus
Orange-breasted Thornbird,Phacellodomus ferrugineigula
Spot-breasted Thornbird,Phacellodomus maculipectus
Greater Thornbird,Phacellodomus ruber
Rufous-fronted Thornbird,Phacellodomus rufifrons
Little Thornbird,Phacellodomus sibilatrix
Streak-fronted Thornbird,Phacellodomus striaticeps
Freckle-breasted Thornbird,Phacellodomus striaticollis
Chestnut-bellied Malkoha,Phaenicophaeus sumatranus
Green-billed Malkoha,Phaenicophaeus tristis
Blue-faced Malkoha,Phaenicophaeus viridirostris
Black-crowned Palm-Tanager,Phaenicophilus palmarum
Ocellated Antbird,Phaenostictus mcleannani
Scaly-breasted Hummingbird,Phaeochroa cuvierii
Mouse-colored Tyrannulet,Phaeomyias murina
Red-billed Tropicbird,Phaethon aethereus
White-tailed Tropicbird,Phaethon lepturus
Red-tailed Tropicbird,Phaethon rubricauda
Black-throated Hermit,Phaethornis atrimentalis
Straight-billed Hermit,Phaethornis bourcieri
Scale-throated Hermit,Phaethornis eurynome
Gray-chinned Hermit,Phaethornis griseogularis
Green Hermit,Phaethornis guy
White-bearded Hermit,Phaethornis hispidus
Long-billed Hermit,Phaethornis longirostris
Little Hermit,Phaethornis longuemareus
Great-billed Hermit,Phaethornis malaris
Cinnamon-throated Hermit,Phaethornis nattereri
Planalto Hermit,Phaethornis pretrei
Reddish Hermit,Phaethornis ruber
Streak-throated Hermit,Phaethornis rupurumii
Dusky-throated Hermit,Phaethornis squalidus
Stripe-throated Hermit,Phaethornis striigularis
Long-tailed Hermit,Phaethornis superciliosus
Tawny-bellied Hermit,Phaethornis syrmatophorus
White-whiskered Hermit,Phaethornis yaruqui
Large-billed Tern,Phaetusa simplex
